,Name,Locate,Rate,review_num
0,메이비 카페,서귀포 이중섭로 34,4.5 ,73
1,스타벅스 제주중문점,서귀포 중문관광로110번길 32,4.0 ,105
2,카페 델문도,제주 조천읍 조함해안로 519-10,4.0 ,132
3,봄날,제주 애월로1길 25,4.0 ,92
4,몽상,제주 애월읍 애월북서길 56-1,4.0 ,149
5,앙뚜아네트,제주 중앙로 13,4.5 ,34
6,테라로사 커피,서귀포 칠십리로658번길 27-16,4.5 ,34
7,유동커피,서귀포 태평로 406-1,4.5 ,31
8,풍림다방,제주 평대2길 35,4.5 ,28
9,카페 서연의 집,서귀포 남원읍 위미리 2937번지,4.0 ,53
10,색달로망스,서귀포 색달로72번길 1,5.0 ,15
11,스타벅스 성산일출봉점,서귀포 성산읍 일출로 284-5,4.0 ,67
12,블랑로쉐,제주 우도면 우도해안길 783,4.5 ,22
13,투썸플레이스,서귀포 중문관광로 90,4.0 ,34
14,빌라드아토,서귀포 태평로 413,5.0 ,13
15,스타벅스 제주중문DT점,서귀포 천제연로 95,4.5 ,17
16,스타벅스 제주노형점,제주 도령로 27,4.5 ,20
17,카페 바나나 - 함덕점,제주 조천읍 신북로 491-9 3층,5.0 ,9
18,카페공작소,제주 구좌읍 해맞이해안로 1446,4.0 ,18
19,커핀그루나루 애월한담해안산책로점,제주 애월읍 애월로 11,4.5 ,18
20,스타벅스 신제주이마트점,제주 1100로 3348 이마트,4.0 ,24
21,카페 블루하우스,서귀포 중앙로 73,4.5 ,15
