,Name,Locate,Rate,review_num
0,인디언키친,제주 애월읍 애원로 191 바그다드하우스,5.0 ,419
1,고집돌우럭 - 중문점,서귀포 일주서로 879,4.5 ,137
2,소울 키친,서귀포 천제연로 131-7,4.5 ,169
3,나니아,서귀포 예래로 424 베이힐풀앤빌라 내,4.5 ,114
4,명진전복,제주 구좌읍 해맞이해안로 1282,4.0 ,302
5,보래드 베이커스,"서귀포 보목로64번길 178 1st Floor, Hotel Seogwipean",5.0 ,9
6,우진해장국,제주 서사로 11,4.0 ,191
7,블루버드 바이 맥파이,제주 탑동로2길 7,4.5 ,73
8,올래국수,제주 귀아랑길 24,4.0 ,254
9,마초 그릴,제주 중앙로 39 2F,4.5 ,120
10,고기정류장,서귀포 천제연로 137 Cheonjeyeon Waterfall Bus Stop,5.0 ,5
11,광원,제주 1100로 3208,4.5 ,139
12,삼다정,제주 노연로 80 메종글래드 제주,4.5 ,80
13,협재화덕 도나토스,제주 한림읍 협재2길 6,4.5 ,123
14,자매국수,제주 삼성로 67,4.0 ,165
15,돈사돈,제주 우평로 19,4.0 ,115
16,서양국수공방,서귀포 510 Seogwi-dong,5.0 ,40
17,바그다드,제주 서광로32길 38,4.5 ,144
18,흑돈가 제주본점,제주 노형동 1509,4.0 ,158
19,스시 호시카이,제주 오남로 90,4.5 ,55
20,모디카,제주 한림읍 한림상로 134-5 Modica,5.0 ,35
21,윌라라,서귀포 성산읍 성산중앙로 33,4.5 ,40
22,고집돌우럭 - 함덕점,제주 조천읍 신북로 491-9 2층,4.5 ,31
23,애월리안,제주 애월읍 애원로 4,5.0 ,46
24,칠돈가,서귀포 천제연로 137,4.0 ,94
25,르 쉬느아,제주 안덕면 신화역사로304번길 38 메리어트 리조트관 G층,5.0 ,24
26,비원,제주 수목원길 3-1,4.5 ,51
27,삼성혈해물탕,제주 선덕로5길 20,4.0 ,89
28,삼대 국수회관,제주 일도2동 1046-12,4.0 ,91
29,리치망고,제주 애월해안로 272,4.0 ,51
