,hotel,price,score,review_number,predict
0,호텔굿인,"₩34,227",3.5,39,0
1,배또롱하우스,"₩241,546",5.0,2,0
2,바다마루 펜션,"₩49,001",4.5,3,0
3,아뜨네제주 통나무펜션,"₩59,054",4.5,3,0
4,썬라이즈 호텔 - 중문점,"₩43,407",4.0,7,0
5,제주 랜드 펜션,"₩35,000",5.0,3,0
6,북마크 게스트하우스,"₩70,001",5.0,2,0
7,티라호텔,"₩47,699",5.0,2,0
8,샐리스 제주 호텔,"₩65,219",3.5,3,0
9,뜨레비모텔,"₩31,932",4.5,3,0
10,아모렉스 리조트,"₩49,724",3.5,13,0
11,에코 그린 리조트,"₩65,450",4.0,6,0
12,오션 그랜드 호텔 제주,"₩54,900",3.0,49,0
13,수앤수리조트,"₩72,888",4.5,4,0
14,푸른섬 게스트하우스,"₩39,690",5.0,2,0
15,홍익제주호텔,"₩49,001",5.0,1,0
16,켄싱턴 리조트 제주 한림,"₩50,337",3.5,13,0
17,베니키아 호텔 제주,"₩47,284",4.0,30,0
18,호텔 W 탑동점,"₩56,636",3.5,13,0
19,아르츠 스파 앤 풀 빌라,"₩215,000",4.5,3,0
20,그림리조트,"₩70,578",3.5,3,0
21,오션스퀘어 리조트,"₩45,000",3.5,2,0
22,스카이 리더스 호텔,"₩32,399",3.5,5,0
23,제주 팜힐,"₩51,000",5.0,3,0
24,풍경 호텔,"₩48,048",3.5,7,0
25,라임오렌지빌,"₩55,000",4.5,3,0
26,라사니아캐슬,"₩57,772",4.0,5,0
27,그린 비치 펜션,"₩59,000",4.5,4,0
28,골든파크호텔,"₩30,141",3.5,6,0
29,스테이 인 제주,"₩79,000",5.0,2,0
30,비울채울펜션,"₩78,194",4.0,5,0
31,라오체 리조트,"₩85,119",4.5,3,0
32,더루케테호텔,"₩30,995",4.5,3,0
33,와하하게스트하우스,"₩49,999",4.5,2,0
34,비스타 뷰 리조트,"₩117,000",4.5,4,0
35,산토리니펜션,"₩44,650",4.5,2,0
36,솔바람 풍경소리 펜션,"₩141,176",4.5,4,0
37,자고가 게스트하우스,"₩50,000",4.0,4,0
38,유티에스골프빌리지,"₩50,990",4.0,6,0
39,몽듀호텔,"₩59,465",5.0,2,0
40,코델리아 리조트,"₩37,520",3.5,12,0
41,이화 호텔,"₩36,436",3.5,4,0
42,루시드엠,"₩100,000",5.0,2,0
43,성산 아쿠아 비치 호텔,"₩36,500",3.5,5,0
44,제주휴펜션,"₩45,000",5.0,2,0
45,하니크라운호텔,"₩36,000",3.5,6,0
46,성산우리집펜션,"₩65,000",4.5,3,0
47,블랙샌즈호텔,"₩48,999",3.5,13,0
48,제주노블레스관광호텔,"₩44,792",3.5,10,0
49,메종드제주 풀빌라,"₩305,882",5.0,1,0
50,더스테이 센추리호텔,"₩58,001",4.0,6,0
51,제이뷰 호텔,"₩41,681",4.5,6,0
52,코업시티호텔 하버뷰,"₩45,780",3.5,5,0
53,스토리빌,"₩81,395",4.5,5,0
54,济州岛珍珠观光酒店,"₩39,582",3.5,12,0
55,부다페스트인,"₩159,000",5.0,5,0
56,메이플 호텔,"₩48,919",4.0,11,0
57,호텔 엘린,"₩46,478",4.0,18,0
58,써니데이 제주,"₩160,000",4.5,8,0
59,레프트핸더 게스트하우스,"₩104,999",4.5,8,0
60,제주BP게스트하우스,"₩39,999",4.5,7,0
61,대명 샤인빌 리조트,"₩132,299",3.5,55,0
62,디 아일랜드 마리나,"₩71,478",3.5,37,0
63,레몬트리,"₩50,000",4.5,8,0
64,제주 스테이 비우다,"₩279,999",4.5,9,0
65,제주 룩스 호텔,"₩35,633",3.5,22,0
66,자몽호텔,"₩44,150",4.0,3,0
67,한라궁 호텔,"₩112,850",4.5,2,0
68,앳눈호텔,"₩41,332",4.0,20,0
69,블루 하와이 리조트,"₩55,000",3.5,16,0
70,퐁낭에염,"₩49,999",5.0,3,0
71,레이크힐스리조트 제주,"₩87,501",4.5,8,0
72,까사 데 비발디,"₩61,218",5.0,1,0
73,다이아몬드호텔,"₩50,000",4.0,6,0
74,참피온호텔,"₩35,000",3.5,18,0
75,아쿠아 뷰티크,"₩237,500",4.5,5,0
76,푸른제주민박,"₩38,999",4.0,5,0
77,포트 애비뉴 호텔,"₩53,005",4.0,12,0
78,모나코 모텔,"₩44,999",4.0,12,0
79,썬라이즈호텔 - 섭지코지점,"₩47,069",4.5,4,0
80,솔라시도 펜션,"₩95,023",4.5,8,0
81,제주란 B&B,"₩79,000",5.0,4,0
82,하모니 리조트,"₩94,201",5.0,3,0
83,천지연 크리스탈 호텔,"₩55,000",4.5,4,0
84,바우하우스 B동,"₩59,999",5.0,4,0
85,송당송당펜션앤리조트,"₩32,986",4.0,2,0
86,성게돌펜션,"₩65,000",5.0,1,0
87,제주 팔레스 호텔,"₩44,602",3.0,53,0
88,갤러리 호텔 비앤비,"₩35,000",3.5,6,0
89,더 비비스 제주,"₩52,941",4.5,6,0
90,해모랏 펜션,"₩54,707",5.0,1,0
91,꿈에그린펜션,"₩47,000",4.5,4,0
92,씨스테이 호텔 & 스파,"₩96,900",4.0,11,0
93,쉴띠 펜션,"₩69,000",5.0,1,0
94,그린나래펜션,"₩65,000",4.0,3,0
95,풀로라 호텔 . 제이드림호텔,"₩50,667",4.5,13,0
96,베니키아 호텔 마리나,"₩58,000",3.5,14,0
97,나인스파빌,"₩99,000",4.5,2,0
98,보름펜션,"₩70,001",5.0,1,0
99,아크로뷰 호텔,"₩36,182",5.0,1,0
100,초콜릿 호텔,"₩60,000",4.0,2,0
101,라메종베니 제주,"₩85,000",5.0,1,0
102,뭉클펜션,"₩56,942",5.0,1,0
103,해마 호텔,"₩62,500",4.0,2,0
104,그린 게스트하우스,"₩48,107",5.0,1,0
105,파미유 스파 리조트,"₩69,029",4.0,2,0
106,렉스호텔,"₩45,305",5.0,1,0
107,휴마루 리조트,"₩49,761",5.0,1,0
108,제주 퍼시픽 호텔,"₩86,099",3.5,31,0
109,로긴 리조트&호텔,"₩80,000",4.0,2,0
110,화이트 드림 펜션,"₩71,999",3.5,3,0
111,메가 리조트,"₩81,028",3.5,3,0
112,주광리조트,"₩130,000",4.0,2,0
113,바다와자전거,"₩71,999",5.0,1,0
114,중문시티호텔,"₩45,151",3.5,4,0
115,더 세리 리조트,"₩200,000",4.0,4,0
116,더베이제주리조트,"₩63,199",4.0,2,0
117,아라스테이게스트하우스,"₩248,001",5.0,1,0
118,나르샤 리조트,"₩46,000",5.0,1,0
119,호텔캘리포니아,"₩55,000",5.0,1,0
120,해라의 성,"₩49,999",4.0,2,0
121,제주민박 살롱드탱자,"₩60,832",5.0,1,0
122,중문 리조트,"₩31,765",3.5,2,0
123,스프링힐리조트,"₩55,261",4.0,1,0
124,호텔 라벤다 제주,"₩37,775",4.0,1,0
125,노블레스 호텔,"₩49,500",4.0,1,0
