,hotel,price,score,review_number,predict
0,라마다 프라자 제주,"₩128,470",4.0,775,1
1,랜딩관 제주신화월드 호텔 앤 리조트,"₩88,795",4.5,703,1
2,서머셋 제주신화월드,"₩239,360",5.0,820,1
3,메종 글래드 제주,"₩114,326",4.0,582,1
4,스위트 호텔 제주,"₩133,482",4.5,567,1
5,롯데 호텔 제주,"₩508,200",4.5,991,1
6,신화관 제주신화월드 호텔 앤 리조트,"₩209,440",4.5,675,1
7,메리어트관 제주신화월드 호텔 앤 리조트,"₩198,990",5.0,582,1
8,예하 게스트하우스,"₩54,000",4.5,545,1
9,제주신라호텔,"₩726,000",4.5,750,1
10,디셈버 호텔 제주,"₩50,000",4.5,276,2
11,베스트 웨스턴 제주 호텔,"₩63,501",4.5,383,2
12,호텔휘슬락,"₩57,490",4.5,284,2
13,제주 칼 호텔,"₩64,554",3.5,180,2
14,베니키아 중문 호텔,"₩64,364",4.5,318,2
15,라마다제주시티홀,"₩55,866",4.5,238,2
16,오션 스위츠 제주 호텔,"₩68,785",4.0,339,2
17,제주에코스위츠,"₩138,510",5.0,257,2
18,신라스테이 제주,"₩118,800",4.5,357,2
19,해비치 호텔 & 리조트 제주,"₩323,850",4.5,331,2
20,호스텔 린든,"₩57,778",4.5,184,2
21,롯데시티호텔 제주,"₩123,750",4.5,415,2
22,호텔 레오,"₩58,964",4.5,221,2
23,WE호텔 제주,"₩154,788",4.5,243,2
24,제주 오션 팰리스 호텔,"₩51,449",4.0,326,2
25,데이즈 호텔 제주 서귀포 오션,"₩40,500",4.5,274,2
